,ST_Rev
19290116,   0.02
19290117,  -0.67
19290118,   0.23
19290119,   0.41
19290121,   0.30
19290122,  -0.62
19290123,   0.18
19290124,   0.64
19290125,  -0.86
19290126,  -0.58
19290128,  -0.57
19290129,  -0.42
19290130,  -0.82
19290131,   0.16
19290201,   0.18
19290202,  -0.25
19290204,   0.27
19290205,   0.58
19290206,   0.77
19290207,   1.42
19290208,   0.21
19290211,  -0.16
19290213,   0.92
19290214,   0.27
19290215,   0.37
19290216,   0.18
19290218,   0.21
19290219,   0.35
19290220,   0.31
19290221,   0.50
19290225,  -0.30
19290226,   0.49
19290227,   0.16
19290228,   0.41
19290301,   0.23
19290302,   0.76
19290304,   0.09
19290305,   0.47
19290306,   0.73
19290307,   0.00
19290308,  -0.42
19290309,   0.59
19290311,   0.62
19290312,  -0.12
19290313,  -0.01
19290314,  -0.10
19290315,  -0.33
19290316,  -0.56
19290318,   0.28
19290319,   0.30
19290320,  -0.92
19290321,   0.32
19290322,   0.65
19290323,   0.61
19290325,   0.26
19290326,  -1.32
19290327,   2.18
19290328,   0.76
19290401,   0.11
19290402,  -0.60
19290403,   1.07
19290404,   0.77
19290405,   0.67
19290406,   0.30
19290408,   0.11
19290409,  -0.71
19290410,   0.44
19290411,   0.81
19290412,   0.99
19290413,  -0.27
19290415,  -0.22
19290416,  -0.11
19290417,  -0.18
19290418,   0.53
19290419,  -0.16
19290420,  -0.32
19290422,  -0.22
19290423,   0.39
19290424,   0.46
19290425,   1.56
19290426,   0.28
19290427,   0.13
19290429,   0.11
19290430,   0.77
19290501,  -0.03
19290502,  -0.43
19290503,  -0.25
19290504,   0.60
19290506,   0.57
19290507,   0.94
19290508,  -0.08
19290509,   0.75
19290510,  -0.08
19290511,   0.33
19290513,   0.73
19290514,  -0.26
19290515,   0.11
19290516,   0.21
19290517,   0.10
19290518,   0.37
19290520,   1.11
19290521,  -0.39
19290522,   0.30
19290523,   0.94
19290524,  -0.54
19290525,   0.15
19290527,  -1.96
19290528,   1.08
19290529,  -0.80
19290531,  -0.45
19290601,  -0.06
19290603,   2.17
19290604,   2.53
19290605,   0.70
19290606,   0.11
19290607,   0.46
19290608,  -0.20
19290610,   0.01
19290611,  -0.04
19290612,   0.20
19290613,   0.16
19290614,   0.88
19290615,   0.22
19290617,   0.95
19290618,  -0.07
19290619,   0.54
19290620,  -0.11
19290621,   0.15
19290622,  -0.14
19290624,   1.23
19290625,  -0.61
19290626,  -0.10
19290627,   0.12
19290628,  -0.74
19290629,  -0.17
19290701,   0.42
19290702,   0.29
19290703,   0.47
19290705,  -0.05
19290706,   0.13
19290708,   0.16
19290709,   0.82
19290710,  -0.39
19290711,  -0.15
19290712,  -0.59
19290713,  -0.08
19290715,  -0.13
19290716,  -0.09
19290717,   0.76
19290718,   0.93
19290719,  -1.27
19290720,  -0.69
19290722,  -0.30
19290723,   0.89
19290724,   0.24
19290725,   1.01
19290726,   0.05
19290727,   0.59
19290729,   0.90
19290730,   0.50
19290731,   0.13
19290801,   0.24
19290802,   0.02
19290803,   0.14
19290805,   0.84
19290806,   0.20
19290807,   0.50
19290808,  -0.33
19290809,   0.89
19290810,   0.37
19290812,   0.33
19290813,   0.11
19290814,   0.63
19290815,  -0.01
19290816,  -0.19
19290817,  -0.19
19290819,   1.47
19290820,   0.68
19290821,   0.77
19290822,   0.40
19290823,  -0.58
19290824,   0.14
19290826,  -0.05
19290827,   0.42
19290828,   0.22
19290829,   0.17
19290830,   0.15
19290903,   0.72
19290904,   0.65
19290905,   2.54
19290906,  -0.63
19290907,  -0.17
19290909,   0.03
19290910,   0.86
19290911,   0.27
19290912,   0.33
19290913,  -0.15
19290914,   0.10
19290916,  -0.02
19290917,   0.57
19290918,   0.31
19290919,  -0.18
19290920,  -0.68
19290921,  -0.43
19290923,   0.47
19290924,   0.55
19290925,  -0.33
19290926,  -0.14
19290927,   0.22
19290928,   0.31
19290930,  -0.08
19291001,   0.26
19291002,  -0.16
19291003,  -0.80
19291004,  -0.86
19291005,   3.00
19291007,   1.75
19291008,  -0.30
19291009,  -0.17
19291010,   0.43
19291011,  -0.35
19291014,   0.24
19291015,   0.28
19291016,  -0.61
19291017,  -0.10
19291018,  -1.47
19291019,  -0.85
19291021,  -0.78
19291022,   2.13
19291023,  -3.80
19291024,  -2.32
19291025,   4.03
19291026,   0.99
19291028,  -8.52
19291029,  -4.95
19291030,  21.24
19291031,  13.13
19291104,  -0.89
19291106,  -7.41
19291107,   4.26
19291108,   2.32
19291111,  -4.22
19291112,  -3.45
19291113,  -2.69
19291114,  12.92
19291115,   7.73
19291118,   0.65
19291119,   2.29
19291120,   2.77
19291121,   1.64
19291122,   0.56
19291125,  -0.03
19291126,  -1.53
19291127,   1.14
19291202,  -0.04
19291203,  -0.19
19291204,  -0.50
19291205,   0.53
19291206,   0.76
19291207,   1.02
19291209,   2.62
19291210,   0.76
19291211,   1.29
19291212,   3.92
19291213,  -1.01
19291214,  -0.61
19291216,   1.99
19291217,  -0.06
19291218,   0.24
19291219,   0.49
19291220,  -0.80
19291221,   1.94
19291223,   0.96
19291224,  -0.62
19291226,   0.49
19291227,   0.74
19291228,   0.20
19291230,  -0.64
19291231,   4.63
19300102,   1.90
19300103,   0.93
19300104,   1.12
19300106,   1.51
19300107,   0.88
19300108,   0.40
19300109,  -0.15
19300110,   0.90
19300111,   0.42
19300113,   0.78
19300114,   0.54
19300115,   0.18
19300116,  -0.47
19300117,   1.26
19300118,   0.69
19300120,  -0.48
19300121,  -0.40
19300122,   0.06
19300123,   0.94
19300124,   0.09
19300125,   0.63
19300127,   0.24
19300128,   0.88
19300129,  -0.87
19300130,   0.05
19300131,   0.20
19300201,   0.13
19300203,   1.23
19300204,  -0.33
19300205,  -0.51
19300206,   1.04
19300207,   0.73
19300208,  -0.41
19300210,   0.28
19300211,  -0.67
19300213,  -0.44
19300214,   0.42
19300215,  -0.01
19300217,  -0.97
19300218,   1.25
19300219,   0.72
19300220,   1.55
19300221,  -0.04
19300224,   0.73
19300225,   0.77
19300226,   0.10
19300227,  -0.22
19300228,  -0.17
19300301,  -0.12
19300303,   0.91
19300304,   0.42
19300305,   0.79
19300306,  -0.31
19300307,   0.20
19300308,  -0.34
19300310,   0.11
19300311,   0.15
19300312,   0.59
19300313,  -1.19
19300314,   0.34
19300315,   0.17
19300317,  -1.77
19300318,   1.02
19300319,   0.83
19300320,   0.61
19300321,   0.03
19300322,   0.25
19300324,  -0.93
19300325,  -0.22
19300326,   0.11
19300327,   0.43
19300328,  -0.22
19300329,   0.12
19300331,   0.16
19300401,   0.85
19300402,   1.45
19300403,  -0.67
19300404,  -0.49
19300405,  -0.37
19300407,   0.61
19300408,   1.41
19300409,  -0.29
19300410,   0.48
19300411,  -0.05
19300412,   0.25
19300414,   0.42
19300415,   0.83
19300416,   0.52
19300417,  -0.41
19300421,  -1.02
19300422,   0.14
19300423,  -0.96
19300424,  -0.33
19300425,  -0.75
19300426,  -0.69
19300428,   0.26
19300429,  -0.38
19300430,  -0.95
19300501,   0.86
19300502,   1.66
19300503,  -0.56
19300505,  -0.48
19300506,   3.32
19300507,   0.90
19300508,   1.88
19300509,   0.74
19300510,   1.54
19300512,   1.28
19300513,   0.12
19300514,   0.90
19300515,   0.33
19300516,   0.25
19300517,   0.53
19300519,  -0.28
19300520,  -0.21
19300521,  -0.02
19300522,   0.59
19300523,   1.22
19300524,   0.61
19300526,   1.02
19300527,   0.68
19300528,  -0.05
19300529,  -0.28
19300602,   0.35
19300603,   0.98
19300604,   0.09
19300605,   0.42
19300606,   0.57
19300607,   0.14
19300609,  -1.90
19300610,   3.49
19300611,  -0.83
19300612,  -0.35
19300613,   1.74
19300614,  -0.71
19300616,  -3.06
19300617,   0.66
19300618,  -2.63
19300619,   6.98
19300620,   0.01
19300621,  -1.68
19300623,   2.63
19300624,  -0.73
19300625,   0.70
19300626,   3.26
19300627,  -0.51
19300628,   1.03
19300630,   2.94
19300701,   1.39
19300702,   1.71
19300703,   0.33
19300707,  -0.56
19300708,   1.25
19300709,   1.12
19300710,   2.14
19300711,   0.21
19300712,   0.68
19300714,   1.55
19300715,   0.89
19300716,   0.59
19300717,   1.06
19300718,   0.23
19300719,   1.34
19300721,   2.72
19300722,   0.41
19300723,  -0.07
19300724,   1.28
19300725,   0.78
19300726,  -0.13
19300728,   0.30
19300729,   0.66
19300730,   2.71
19300731,   0.30
19300801,   0.64
19300802,   0.08
19300804,   0.32
19300805,   0.67
19300806,   0.82
19300807,   0.60
19300808,   0.87
19300809,   0.59
19300811,   0.92
19300812,  -0.03
19300813,   1.69
19300814,   1.48
19300815,   1.76
19300816,   1.48
19300818,  -0.18
19300819,   1.09
19300820,   1.37
19300821,   0.21
19300822,   0.66
19300823,   0.64
19300825,   0.31
19300826,   0.05
19300827,   0.63
19300828,   0.08
19300829,   0.63
19300902,   0.77
19300903,   1.24
19300904,   0.39
19300905,  -1.42
19300906,   0.69
19300908,   1.13
19300909,   0.23
19300910,   0.29
19300911,  -0.09
19300912,   2.33
19300913,   0.29
19300915,   0.96
19300916,   0.74
19300917,   0.65
19300918,   1.08
19300919,   0.94
19300920,   0.59
19300922,   0.16
19300923,   1.23
19300924,  -0.17
19300925,  -1.26
19300926,  -1.37
19300927,  -0.43
19300929,  -0.88
19300930,  -0.90
19301001,   6.35
19301002,   0.66
19301003,   2.18
19301004,   1.04
19301006,  -1.73
19301007,  -0.08
19301008,  -0.24
19301009,  -3.71
19301010,   2.26
19301011,   0.59
19301014,   1.86
19301015,   2.46
19301016,   0.31
19301017,  -0.87
19301018,  -1.04
19301020,   4.33
19301021,  -2.00
19301022,  -0.62
19301023,   1.49
19301024,   3.04
19301025,   1.84
19301027,   1.59
19301028,   0.32
19301029,   0.12
19301030,   0.24
19301031,  -0.85
19301101,   0.92
19301103,   0.83
19301105,  -0.17
19301106,   1.76
19301107,  -0.82
19301108,   0.54
19301110,  -1.25
19301111,   3.00
19301112,   2.39
19301113,   4.18
19301114,   1.78
19301115,   2.24
19301117,   1.97
19301118,   1.05
19301119,   2.15
19301120,   0.52
19301121,   1.48
19301122,   0.97
19301124,   0.35
19301125,   1.55
19301126,   1.32
19301128,   0.35
19301129,   0.63
19301201,   0.56
19301202,  -0.18
19301203,   1.35
19301204,   1.73
19301205,   1.03
19301206,   1.23
19301208,   0.32
19301209,   0.18
19301210,   0.34
19301211,  -0.07
19301212,  -0.22
19301213,  -1.38
19301215,   0.89
19301216,  -1.12
19301217,   6.52
19301218,   3.80
19301219,   2.24
19301220,   2.35
19301222,   0.18
19301223,   0.56
19301224,   1.11
19301226,   0.18
19301227,   0.53
19301229,   1.58
19301230,   2.14
19301231,   5.43
19310102,   7.66
19310103,   2.61
19310105,   2.37
19310106,   1.69
19310107,   2.47
19310108,   0.99
19310109,   1.21
19310110,   0.24
19310112,   2.32
19310113,   1.94
19310114,   1.31
19310115,   0.75
19310116,   1.48
19310117,   0.25
19310119,   1.27
19310120,   0.76
19310121,   0.19
19310122,  -0.03
19310123,  -0.06
19310124,   0.48
19310126,   0.56
19310127,   0.14
19310128,   2.26
19310129,   0.54
19310130,   0.14
19310131,   0.57
19310202,   0.86
19310203,   0.35
19310204,   0.43
19310205,   1.23
