,LT_Rev
19330914,   0.88
19330915,  -3.30
19330916,   1.37
19330918,  -0.27
19330919,   0.17
19330920,  -3.00
19330921,  -5.82
19330922,   1.05
19330923,   0.79
19330925,  -0.70
19330926,  -0.49
19330927,  -3.08
19330928,   0.30
19330929,   0.70
19330930,  -0.47
19331002,  -1.11
19331003,  -0.34
19331004,   3.44
19331005,   0.01
19331006,  -1.88
19331007,  -0.14
19331009,   0.59
19331010,   0.21
19331011,  -1.09
19331013,  -2.32
19331014,  -1.06
19331016,  -5.44
19331017,   1.98
19331018,  -3.56
19331019,  -5.03
19331020,   2.50
19331021,  -0.88
19331023,   5.49
19331024,   2.05
19331025,   3.68
19331026,  -1.09
19331027,   1.08
19331028,  -0.79
19331030,  -0.76
19331031,  -0.60
19331101,   0.93
19331102,   1.42
19331103,   0.57
19331104,  -0.02
19331106,  -0.78
19331108,   1.19
19331109,   1.64
19331110,  -0.62
19331111,   1.16
19331113,  -0.46
19331114,  -0.11
19331115,  -2.66
19331116,   2.04
19331117,  -1.58
19331118,   0.50
19331120,   1.04
19331121,  -0.38
19331122,  -1.53
19331123,  -1.06
19331124,   0.91
19331125,  -0.10
19331127,  -2.01
19331128,  -0.09
19331129,   0.71
19331201,  -0.04
19331202,  -0.65
19331204,  -0.42
19331205,   2.37
19331206,  -0.29
19331207,   0.21
19331208,  -1.06
19331209,   2.37
19331211,   1.25
19331212,  -0.70
19331213,  -0.81
19331214,  -0.04
19331215,  -0.79
19331216,  -0.92
19331218,  -2.08
19331219,  -1.45
19331220,  -1.14
19331221,  -1.03
19331222,   3.35
19331223,  -2.03
19331226,  -2.56
19331227,  -0.07
19331228,   2.14
19331229,  -0.02
19331230,   0.93
19340102,   1.75
19340103,  -0.22
19340104,   0.17
19340105,  -1.53
19340106,   0.38
19340108,  -0.31
19340109,  -0.49
19340110,   1.15
19340111,   0.50
19340112,   1.13
19340113,   0.34
19340115,   5.44
19340116,   1.56
19340117,  -0.16
19340118,   0.64
19340119,   2.88
19340120,   1.38
19340122,  -0.44
19340123,   0.38
19340124,   0.99
19340125,  -0.35
19340126,   0.37
19340127,  -0.35
19340129,   2.73
19340130,   0.20
19340131,  -0.45
19340201,   2.25
19340202,  -0.69
19340203,   1.72
19340205,   1.89
19340206,   0.39
19340207,  -3.17
19340208,   0.75
19340209,  -1.47
19340210,  -1.09
19340213,   1.28
19340214,   1.17
19340215,   2.45
19340216,   0.62
19340217,   0.53
19340219,  -0.79
19340220,   0.65
19340221,   0.58
19340223,  -2.77
19340224,  -1.95
19340226,  -1.99
19340227,   1.30
19340228,  -0.23
19340301,   0.10
19340302,   2.46
19340303,  -0.12
19340305,  -0.28
19340306,  -0.93
19340307,  -1.63
19340308,   1.16
19340309,  -0.56
19340310,   0.09
19340312,   0.60
19340313,   0.17
19340314,   0.42
19340315,  -1.39
19340316,   0.52
19340317,  -0.55
19340319,  -1.30
19340320,   0.86
19340321,  -0.62
19340322,   0.61
19340323,  -0.73
19340324,   0.35
19340326,  -0.08
19340327,  -1.10
19340328,   0.02
19340329,   0.35
19340331,   0.78
19340402,   0.06
19340403,   0.42
19340404,  -0.32
19340405,   0.01
19340406,  -0.66
19340407,   0.30
19340409,   0.53
19340410,   0.34
19340411,   0.05
19340412,  -0.42
19340413,  -0.05
19340414,   0.38
19340416,  -0.79
19340417,   0.22
19340418,   0.46
19340419,   0.59
19340420,   1.09
19340421,  -0.01
19340423,  -0.33
19340424,  -0.60
19340425,   0.06
19340426,  -0.14
19340427,  -0.29
19340428,  -0.65
19340430,  -1.99
19340501,  -0.06
19340502,  -1.29
19340503,   0.06
19340504,  -0.13
19340505,  -1.11
19340507,  -3.05
19340508,   1.93
19340509,  -0.07
19340510,  -1.42
19340511,  -0.92
19340512,   0.14
19340514,  -0.05
19340515,   0.49
19340516,  -0.62
19340517,   3.46
19340518,  -1.06
19340519,   0.06
19340521,  -0.07
19340522,  -1.38
19340523,  -0.79
19340524,   0.28
19340525,   0.36
19340526,  -0.24
19340528,   0.89
19340529,  -1.12
19340531,  -1.19
19340601,  -0.85
19340602,   0.60
19340604,   0.65
19340605,   0.89
19340606,  -0.69
19340607,  -0.75
19340608,   2.65
19340609,   0.74
19340611,  -0.71
19340612,   0.21
19340613,   0.42
19340614,  -1.54
19340615,   0.01
19340616,   1.80
19340618,   0.38
19340619,  -1.09
19340620,  -1.26
19340621,  -0.60
19340622,  -1.19
19340623,   0.36
19340625,  -1.05
19340626,   0.72
19340627,   0.12
19340628,   0.04
19340629,  -0.83
19340630,  -0.22
19340702,  -0.65
19340703,  -0.24
19340705,   1.05
19340706,   0.30
19340707,  -0.22
19340709,  -0.68
19340710,   0.24
19340711,   0.33
19340712,  -1.30
19340713,  -0.74
19340714,   0.21
19340716,  -1.23
19340717,  -0.10
19340718,  -0.25
19340719,  -1.03
19340720,  -0.99
19340721,  -1.27
19340723,  -3.94
19340724,  -1.57
19340725,   0.90
19340726,  -5.37
19340727,   2.79
19340728,   0.89
19340730,   0.79
19340731,  -0.27
19340801,   0.39
19340802,   0.74
19340803,  -0.35
19340804,  -1.12
19340806,  -0.53
19340807,  -0.50
19340808,   1.55
19340809,   1.10
19340810,  -0.25
19340811,  -0.59
19340813,   0.19
19340814,  -0.12
19340815,  -0.16
19340816,   0.18
19340817,  -0.16
19340818,  -0.49
19340820,   0.39
19340821,   1.73
19340822,   2.23
19340823,   1.32
19340824,   1.68
19340825,   1.19
19340827,  -1.33
19340828,  -1.23
19340829,   0.26
19340830,  -1.83
19340831,   0.26
19340901,   0.28
19340904,  -0.71
19340905,   1.40
19340906,  -1.18
19340907,  -0.53
19340908,   0.53
19340910,  -1.68
19340911,   0.63
19340912,   0.28
19340913,  -0.81
19340914,  -0.71
19340915,   0.28
19340917,  -0.63
19340918,  -0.12
19340919,   1.12
19340920,   0.83
19340921,  -0.04
19340922,   0.91
19340924,   0.00
19340925,   2.51
19340926,  -0.19
19340927,   1.04
19340928,  -0.78
19340929,  -0.02
19341001,  -2.20
19341002,  -0.36
19341003,   0.41
19341004,  -0.35
19341005,   0.99
19341006,   0.16
19341008,  -0.49
19341009,  -0.68
19341010,   0.85
19341011,   0.87
19341013,  -0.67
19341015,  -0.58
19341016,   0.23
19341017,  -0.44
19341018,  -0.42
19341019,  -0.08
19341020,   0.04
19341022,  -0.22
19341023,  -0.23
19341024,   2.41
19341025,  -1.34
19341026,  -1.03
19341027,  -0.01
19341029,  -0.49
19341030,  -0.37
19341031,  -0.43
19341101,  -1.00
19341102,   0.70
19341103,   0.21
19341105,   0.44
19341107,   1.60
19341108,  -1.10
19341109,   0.94
19341110,   0.20
19341113,  -1.42
19341114,  -0.42
19341115,  -0.29
19341116,  -0.90
19341117,  -0.38
19341119,  -0.22
19341120,   0.59
19341121,  -1.41
19341122,   0.29
19341123,   0.66
19341124,   0.86
19341126,   1.74
19341127,  -0.58
19341128,   0.63
19341130,  -0.15
19341201,   0.30
19341203,  -0.70
19341204,   0.50
19341205,   0.14
19341206,  -0.63
19341207,  -0.54
19341208,  -0.24
19341210,  -0.44
19341211,  -0.53
19341212,  -0.05
19341213,   0.42
19341214,  -0.44
19341215,   0.28
19341217,   0.76
19341218,   0.23
19341219,  -1.49
19341220,  -0.42
19341221,  -0.22
19341222,  -0.12
19341224,  -0.30
19341226,  -0.87
19341227,   0.08
19341228,   0.26
19341229,   1.54
19341231,   0.34
19350102,  -0.17
19350103,   0.65
19350104,   0.03
19350105,   0.82
19350107,  -0.05
19350108,   0.54
19350109,   0.51
19350110,   0.53
19350111,  -0.87
19350112,  -0.48
19350114,   0.08
19350115,  -0.27
19350116,  -0.16
19350117,   1.43
19350118,   0.15
19350119,   0.42
19350121,  -0.25
19350122,  -0.77
19350123,   0.49
19350124,   0.07
19350125,   0.25
19350126,  -0.01
19350128,  -0.52
19350129,   0.35
19350130,  -0.33
19350131,  -0.14
19350201,   0.17
19350202,   0.17
19350204,  -0.82
19350205,  -0.36
19350206,  -0.94
19350207,   0.14
19350208,  -0.81
19350209,   0.81
19350211,  -0.47
19350213,  -0.31
19350214,  -0.36
19350215,  -0.67
19350216,  -0.58
19350218,   2.24
19350219,  -1.19
